Product Name,Brand,Category,Region,Store ID,Date,Quantity,Value
Puma RS-X,Puma,Footwear,North,9,2023-08-17,4,508.56
Nike Dunk,Nike,Footwear,Central,94,2023-06-28,7,240.12
Nike Pegasus,Nike,Footwear,Central,100,2024-04-21,18,5990.53
Puma Track Jacket,Puma,Apparel,South,35,2025-05-09,1,531.08
Puma Track Jacket,Puma,Apparel,West,71,2023-11-23,11,1040.93
Nike Socks Pack,Nike,Accessories,North,13,2023-07-29,12,2307.72
Nike Training Bag,Nike,Equipment,North,15,2024-06-25,13,7282.08
Reebok CrossFit Tee,Reebok,Apparel,Central,90,2023-06-11,3,891.39
Nike Cap,Nike,Accessories,South,30,2023-04-04,4,1722.21
Reebok CrossFit Tee,Reebok,Apparel,East,55,2025-02-17,12,1529.95
Adidas Tiro Pants,Adidas,Apparel,East,43,2024-03-05,8,2542.76
Puma Track Jacket,Puma,Apparel,West,73,2023-12-01,18,8909.48
Adidas Gym Ball,Adidas,Equipment,East,42,2024-03-25,11,5242.99
Adidas Water Bottle,Adidas,Accessories,East,43,2025-04-01,19,11320.14
Reebok Wristband,Reebok,Accessories,South,36,2024-10-06,15,7670.18
Puma RS-X,Puma,Footwear,East,45,2023-10-20,18,6796.7
Reebok Wristband,Reebok,Accessories,Central,94,2024-06-22,5,1114.11
Nike Dri-FIT Tee,Nike,Apparel,West,63,2025-11-09,5,2816.64
Nike Pro Shorts,Nike,Apparel,West,80,2023-11-24,20,4093.77
Nike Air Max,Nike,Footwear,Central,89,2025-08-16,4,1801.99
Puma Logo Tee,Puma,Apparel,East,44,2024-06-30,15,3944.86
Adidas Essentials Tee,Adidas,Apparel,East,57,2023-01-07,4,1054.75
Adidas Headband,Adidas,Accessories,Central,100,2024-09-03,6,644.2
Puma Resistance Band Set,Puma,Equipment,North,20,2025-12-22,4,1323.56
Nike Dri-FIT Tee,Nike,Apparel,East,48,2025-01-13,19,3349.77
Nike Pro Shorts,Nike,Apparel,North,16,2023-06-11,18,8809.79
Adidas Tiro Pants,Adidas,Apparel,South,36,2023-09-15,20,2944.54
Adidas Headband,Adidas,Accessories,South,38,2025-05-16,13,6121.44
UA Charged Assert,Under Armour,Footwear,West,77,2025-02-03,8,812.05
Adidas Gym Ball,Adidas,Equipment,East,41,2023-05-12,1,302.45
Nike Pro Shorts,Nike,Apparel,North,8,2023-05-26,11,5000.62
Puma Track Jacket,Puma,Apparel,Central,88,2023-05-26,7,2387.77
UA Rival Fleece Hoodie,Under Armour,Apparel,Central,99,2023-09-28,16,2186.22
Nike Socks Pack,Nike,Accessories,South,24,2025-04-13,12,5246.46
Nike Dri-FIT Tee,Nike,Apparel,West,75,2025-05-17,4,1784.72
Nike Socks Pack,Nike,Accessories,West,71,2023-05-05,7,975.49
Adidas Essentials Tee,Adidas,Apparel,South,34,2025-07-07,8,1598.5
Nike Socks Pack,Nike,Accessories,West,78,2023-06-04,18,797.08
Adidas Tiro Pants,Adidas,Apparel,North,8,2023-01-31,16,3441.26
Adidas Tiro Pants,Adidas,Apparel,West,62,2024-03-13,13,3018.51
UA HOVR Phantom,Under Armour,Footwear,West,70,2024-06-27,18,7335.33
Puma Logo Tee,Puma,Apparel,South,27,2025-09-23,2,323.69
Nike Dri-FIT Tee,Nike,Apparel,East,42,2023-05-05,17,5106.89
UA Duffel Bag,Under Armour,Equipment,South,22,2025-12-23,6,455.94
Puma RS-X,Puma,Footwear,Central,83,2023-05-21,19,4062.43
Nike Dunk,Nike,Footwear,Central,100,2024-05-19,14,5108.58
Adidas Water Bottle,Adidas,Accessories,East,49,2025-12-06,11,4883.0
Adidas Ultraboost,Adidas,Footwear,East,53,2024-05-03,10,3937.73
Nike Air Max,Nike,Footwear,East,43,2025-07-25,19,5927.43
Adidas Water Bottle,Adidas,Accessories,North,18,2023-07-24,5,1314.12
Reebok CrossFit Tee,Reebok,Apparel,North,8,2024-12-15,15,2704.7
Nike Air Max,Nike,Footwear,Central,97,2024-09-11,18,7049.89
Puma Suede Classic,Puma,Footwear,North,5,2024-09-05,4,346.87
Adidas Water Bottle,Adidas,Accessories,East,50,2023-11-15,7,2551.18
Puma Suede Classic,Puma,Footwear,Central,96,2024-06-24,2,1045.49
Nike Dunk,Nike,Footwear,West,69,2023-07-09,5,108.51
UA HOVR Phantom,Under Armour,Footwear,South,35,2024-06-20,4,1330.48
Nike Dunk,Nike,Footwear,South,38,2023-06-04,19,7991.51
Nike Dunk,Nike,Footwear,West,65,2023-10-31,2,335.93
Nike Socks Pack,Nike,Accessories,South,28,2025-01-02,18,4440.52
Puma RS-X,Puma,Footwear,Central,85,2025-04-12,6,3393.08
Reebok Classic Leather,Reebok,Footwear,North,6,2025-04-24,14,7198.93
Nike Socks Pack,Nike,Accessories,East,46,2024-05-23,2,468.33
UA HeatGear Tee,Under Armour,Apparel,South,27,2025-08-21,8,1953.49
Reebok Wristband,Reebok,Accessories,North,7,2024-04-01,3,612.6
Reebok Wristband,Reebok,Accessories,East,57,2024-07-25,18,7165.69
Puma Suede Classic,Puma,Footwear,North,4,2024-11-09,9,1094.12
UA HOVR Phantom,Under Armour,Footwear,North,20,2023-03-20,11,2045.23
Nike Training Bag,Nike,Equipment,Central,97,2025-06-12,19,5060.88
UA HOVR Phantom,Under Armour,Footwear,East,42,2024-01-25,18,430.8
Nike Pro Shorts,Nike,Apparel,East,54,2024-02-08,11,6014.57
UA Duffel Bag,Under Armour,Equipment,North,10,2024-10-04,14,2712.15
Adidas Ultraboost,Adidas,Footwear,West,70,2024-10-30,13,1675.64
Puma Beanie,Puma,Accessories,Central,99,2023-12-23,1,214.92
UA HOVR Phantom,Under Armour,Footwear,East,47,2024-09-14,20,9134.78
UA Charged Assert,Under Armour,Footwear,West,75,2024-10-21,17,6731.09
Puma Logo Tee,Puma,Apparel,South,23,2025-08-27,20,6952.84
Puma Beanie,Puma,Accessories,North,8,2024-11-17,7,1029.01
Puma RS-X,Puma,Footwear,North,2,2023-10-29,20,9845.79
Adidas Headband,Adidas,Accessories,West,74,2023-05-30,13,4742.48
Adidas Superstar,Adidas,Footwear,West,68,2025-10-09,1,435.38
Adidas Essentials Tee,Adidas,Apparel,West,68,2023-08-07,17,6901.54
Puma RS-X,Puma,Footwear,North,18,2025-08-09,4,2394.01
Puma Resistance Band Set,Puma,Equipment,South,35,2025-07-23,15,9282.37
UA Charged Assert,Under Armour,Footwear,West,78,2025-10-30,16,9373.73
Puma Track Jacket,Puma,Apparel,East,48,2025-07-10,17,8565.75
UA Charged Assert,Under Armour,Footwear,South,29,2025-09-19,10,743.5
Puma Resistance Band Set,Puma,Equipment,East,51,2024-04-25,3,1547.85
Reebok Joggers,Reebok,Apparel,South,28,2023-10-11,7,2471.67
Reebok Classic Leather,Reebok,Footwear,West,74,2023-05-12,14,3926.35
Reebok Joggers,Reebok,Apparel,South,34,2023-05-08,19,8632.13
UA Rival Fleece Hoodie,Under Armour,Apparel,Central,93,2023-02-10,12,273.96
Adidas Gym Ball,Adidas,Equipment,West,74,2024-09-03,9,2632.52
Reebok Joggers,Reebok,Apparel,West,61,2025-06-11,13,3064.68
Nike Pegasus,Nike,Footwear,West,65,2023-12-05,19,8651.19
Adidas Ultraboost,Adidas,Footwear,North,14,2023-02-25,6,2616.53
Puma Resistance Band Set,Puma,Equipment,East,53,2023-04-13,11,1337.57
Reebok Yoga Mat,Reebok,Equipment,West,69,2024-11-22,3,486.76
Nike Dri-FIT Tee,Nike,Apparel,North,18,2025-08-21,12,7799.31
Nike Pegasus,Nike,Footwear,North,2,2024-04-04,7,3830.3
Puma RS-X,Puma,Footwear,Central,85,2023-02-11,4,322.34
Reebok CrossFit Tee,Reebok,Apparel,West,69,2024-03-22,20,2312.39
Nike Socks Pack,Nike,Accessories,South,30,2023-08-23,10,2977.69
Nike Pro Shorts,Nike,Apparel,West,67,2025-02-07,8,3163.75
Nike Training Bag,Nike,Equipment,East,60,2023-07-28,19,7641.59
UA HOVR Phantom,Under Armour,Footwear,East,58,2023-03-26,3,1012.59
Reebok Yoga Mat,Reebok,Equipment,East,41,2025-11-02,4,2156.54
Adidas Superstar,Adidas,Footwear,East,55,2025-06-06,17,5061.65
UA Rival Fleece Hoodie,Under Armour,Apparel,Central,98,2024-07-07,19,5312.6
Nike Cap,Nike,Accessories,East,48,2024-07-03,15,2654.53
Reebok Joggers,Reebok,Apparel,West,79,2024-05-14,16,3339.05
Adidas Water Bottle,Adidas,Accessories,South,36,2024-10-27,9,1969.77
Puma Track Jacket,Puma,Apparel,East,60,2024-11-28,17,5606.54
Reebok Yoga Mat,Reebok,Equipment,North,8,2024-01-27,8,2341.56
Nike Pegasus,Nike,Footwear,West,75,2025-09-02,8,672.52
Reebok CrossFit Tee,Reebok,Apparel,South,30,2025-04-08,17,5462.35
Reebok Classic Leather,Reebok,Footwear,West,78,2024-12-05,15,3257.99
Adidas Gym Ball,Adidas,Equipment,East,49,2024-07-08,7,627.21
Adidas Essentials Tee,Adidas,Apparel,North,18,2024-10-08,16,2059.69
Puma Logo Tee,Puma,Apparel,Central,97,2024-07-20,7,3949.69
Adidas Essentials Tee,Adidas,Apparel,South,32,2024-08-29,18,3417.33
Nike Dri-FIT Tee,Nike,Apparel,East,42,2023-09-17,5,1428.06
Puma Logo Tee,Puma,Apparel,North,1,2025-10-02,15,4783.56
Puma Suede Classic,Puma,Footwear,South,22,2024-11-28,16,8679.47
UA Sport Mask,Under Armour,Accessories,North,13,2023-08-22,2,111.12
Puma Beanie,Puma,Accessories,South,39,2023-11-07,8,487.09
Adidas Gym Ball,Adidas,Equipment,Central,94,2023-08-31,13,5100.33
UA HOVR Phantom,Under Armour,Footwear,West,70,2025-07-11,20,4331.15
Adidas Water Bottle,Adidas,Accessories,Central,84,2023-05-04,9,2882.22
Adidas Essentials Tee,Adidas,Apparel,South,28,2023-06-16,6,1709.74
UA Rival Fleece Hoodie,Under Armour,Apparel,West,75,2023-01-06,8,1278.44
Nike Pro Shorts,Nike,Apparel,East,55,2024-08-13,9,3621.93
Adidas Gym Ball,Adidas,Equipment,West,64,2024-02-10,9,3424.45
Adidas Tiro Pants,Adidas,Apparel,North,2,2023-10-19,20,8009.23
UA HeatGear Tee,Under Armour,Apparel,West,64,2024-08-14,13,5240.95
UA Sport Mask,Under Armour,Accessories,Central,98,2024-07-11,20,5292.86
Puma Suede Classic,Puma,Footwear,West,71,2023-03-23,8,259.32
Nike Dunk,Nike,Footwear,East,59,2023-02-12,6,2317.75
Puma Track Jacket,Puma,Apparel,Central,95,2025-08-21,19,2645.74
UA Rival Fleece Hoodie,Under Armour,Apparel,West,63,2025-06-11,11,2674.4
Reebok Classic Leather,Reebok,Footwear,North,6,2024-10-19,16,4003.65
Nike Dunk,Nike,Footwear,West,78,2024-08-13,11,3014.7
Reebok Wristband,Reebok,Accessories,East,44,2024-05-31,1,500.43
Adidas Headband,Adidas,Accessories,West,62,2025-08-04,20,6990.12
Adidas Water Bottle,Adidas,Accessories,West,62,2025-10-17,5,963.22
Nike Training Bag,Nike,Equipment,West,76,2024-08-12,20,778.72
Nike Air Max,Nike,Footwear,South,30,2024-05-05,3,983.53
Nike Training Bag,Nike,Equipment,North,15,2024-04-05,5,1902.68
Puma Track Jacket,Puma,Apparel,East,57,2025-10-17,16,4564.26
Adidas Superstar,Adidas,Footwear,South,35,2025-08-25,20,5307.15
Puma Track Jacket,Puma,Apparel,South,23,2025-11-06,14,7114.09
Nike Air Max,Nike,Footwear,Central,89,2024-11-27,10,1791.27
UA Rival Fleece Hoodie,Under Armour,Apparel,South,35,2025-09-29,18,4344.43
Adidas Headband,Adidas,Accessories,West,71,2025-02-11,8,5104.03
Nike Dunk,Nike,Footwear,South,34,2025-02-23,16,3592.67
UA Sport Mask,Under Armour,Accessories,West,65,2025-02-19,5,3140.25
Nike Socks Pack,Nike,Accessories,Central,91,2025-10-25,15,8572.42
Nike Air Max,Nike,Footwear,Central,95,2023-07-24,14,5134.82
Puma Suede Classic,Puma,Footwear,North,16,2023-11-13,13,2372.62
Reebok Joggers,Reebok,Apparel,East,58,2023-06-14,16,7647.79
Puma RS-X,Puma,Footwear,Central,83,2023-03-15,10,3229.57
Nike Socks Pack,Nike,Accessories,North,14,2024-04-10,4,1770.9
Nike Pegasus,Nike,Footwear,South,30,2025-06-27,2,109.4
UA HOVR Phantom,Under Armour,Footwear,East,52,2024-08-23,17,1757.03
Adidas Tiro Pants,Adidas,Apparel,Central,86,2025-04-23,20,2704.87
UA Sport Mask,Under Armour,Accessories,Central,88,2025-02-22,5,2978.03
UA HeatGear Tee,Under Armour,Apparel,West,69,2024-04-20,1,163.94
Adidas Tiro Pants,Adidas,Apparel,East,58,2025-08-10,12,865.08
UA HeatGear Tee,Under Armour,Apparel,West,69,2024-09-04,7,3427.25
Puma RS-X,Puma,Footwear,West,64,2025-02-26,12,3167.66
Reebok Wristband,Reebok,Accessories,East,41,2024-08-28,19,3315.75
Puma Logo Tee,Puma,Apparel,Central,96,2023-04-11,8,3138.85
Puma Suede Classic,Puma,Footwear,South,27,2024-12-22,5,1985.63
UA Charged Assert,Under Armour,Footwear,North,10,2023-07-18,12,432.18
Puma Resistance Band Set,Puma,Equipment,North,10,2023-09-27,6,2272.74
Reebok CrossFit Tee,Reebok,Apparel,South,38,2024-02-16,9,2844.27
Puma Logo Tee,Puma,Apparel,East,56,2023-12-03,11,4161.83
Adidas Superstar,Adidas,Footwear,West,63,2023-08-24,8,3055.94
